pc_recv_time,frame_id,timestamp_ms,vtem_voltage_v,vm_voltage_v,va201_voltage_v,vbat_voltage_v
2026-03-23T14:39:21.339,253,21360,0.565,0.543,0.6,2.614
2026-03-23T14:39:21.339,254,21370,0.564,0.543,0.6,2.616
2026-03-23T14:39:21.339,255,21380,0.564,0.544,0.6,2.614
2026-03-23T14:39:21.372,256,21391,0.557,0.539,0.591,2.603
2026-03-23T14:39:21.372,257,21400,0.565,0.543,0.6,2.614
2026-03-23T14:39:21.372,258,21410,0.564,0.543,0.599,2.616
2026-03-23T14:39:21.372,259,21420,0.564,0.543,0.6,2.614
2026-03-23T14:39:21.372,260,21430,0.565,0.542,0.6,2.616
2026-03-23T14:39:21.434,261,21441,0.565,0.544,0.599,2.614
2026-03-23T14:39:21.435,262,21450,0.565,0.544,0.6,2.616
2026-03-23T14:39:21.435,263,21460,0.565,0.543,0.6,2.616
2026-03-23T14:39:21.435,264,21470,0.564,0.543,0.599,2.616
2026-03-23T14:39:21.468,265,21481,0.564,0.543,0.6,2.614
2026-03-23T14:39:21.468,266,21490,0.565,0.543,0.6,2.614
2026-03-23T14:39:21.468,267,21500,0.564,0.543,0.6,2.617
2026-03-23T14:39:21.468,268,21510,0.564,0.543,0.599,2.616
2026-03-23T14:39:21.468,269,21521,0.564,0.543,0.6,2.604
2026-03-23T14:39:21.497,270,21531,0.564,0.544,0.599,2.614
2026-03-23T14:39:21.498,271,21540,0.565,0.543,0.599,2.614
2026-03-23T14:39:21.498,272,21550,0.564,0.544,0.6,2.616
2026-03-23T14:39:21.498,273,21560,0.564,0.544,0.6,2.616
2026-03-23T14:39:21.543,274,21571,0.565,0.544,0.6,2.614
2026-03-23T14:39:21.544,275,21580,0.565,0.544,0.6,2.616
2026-03-23T14:39:21.545,276,21590,0.564,0.544,0.6,2.616
2026-03-23T14:39:21.545,277,21600,0.565,0.544,0.599,2.616
2026-03-23T14:39:21.599,278,21611,0.565,0.544,0.6,2.616
2026-03-23T14:39:21.600,279,21620,0.565,0.543,0.599,2.612
2026-03-23T14:39:21.600,280,21630,0.564,0.544,0.6,2.616
2026-03-23T14:39:21.600,281,21640,0.565,0.544,0.6,2.614
2026-03-23T14:39:21.600,282,21650,0.565,0.543,0.594,2.611
2026-03-23T14:39:21.637,283,21661,0.564,0.543,0.6,2.614
2026-03-23T14:39:21.638,284,21670,0.565,0.549,0.6,2.614
2026-03-23T14:39:21.638,285,21680,0.564,0.545,0.599,2.614
2026-03-23T14:39:21.638,286,21690,0.565,0.544,0.599,2.614
2026-03-23T14:39:21.671,287,21701,0.564,0.544,0.6,2.616
2026-03-23T14:39:21.672,288,21710,0.564,0.544,0.599,2.616
2026-03-23T14:39:21.672,289,21720,0.565,0.544,0.6,2.617
2026-03-23T14:39:21.672,290,21730,0.565,0.544,0.599,2.616
2026-03-23T14:39:21.722,291,21741,0.563,0.543,0.591,2.601
2026-03-23T14:39:21.737,292,21750,0.567,0.544,0.6,2.614
2026-03-23T14:39:21.738,293,21760,0.565,0.544,0.599,2.616
2026-03-23T14:39:21.738,294,21770,0.565,0.544,0.6,2.616
2026-03-23T14:39:21.738,295,21780,0.564,0.546,0.6,2.614
2026-03-23T14:39:21.769,296,21791,0.564,0.544,0.601,2.614
2026-03-23T14:39:21.770,297,21800,0.565,0.544,0.6,2.614
2026-03-23T14:39:21.770,298,21810,0.564,0.551,0.598,2.614
